movie_actor,movie_country,movie_date,movie_director,movie_name_cn,movie_name_en,movie_rating,movie_type
,美国,1994,导演:弗兰克·德拉邦特FrankDarabont,肖申克的救赎, / The Shawshank Redemption,9.7,犯罪剧情
,中国大陆 中国香港,1993,导演:陈凯歌KaigeChen,霸王别姬, / 再见，我的妾  /  Farewell My Concubine,9.6,剧情爱情同性
,美国,1994,导演:罗伯特·泽米吉斯RobertZemeckis,阿甘正传, / Forrest Gump,9.5,剧情爱情
,法国 美国,1994,导演:吕克·贝松LucBesson,这个杀手不太冷, / Léon,9.4,剧情动作犯罪
,美国,1997,导演:詹姆斯·卡梅隆JamesCameron,泰坦尼克号, / Titanic,9.4,剧情爱情灾难
,意大利,1997,导演:罗伯托·贝尼尼RobertoBenigni,美丽人生, / La vita è bella,9.5,剧情喜剧爱情战争
,日本,2001,导演:宫崎骏HayaoMiyazaki,千与千寻, / 千と千尋の神隠し,9.4,剧情动画奇幻
,美国,1993,导演:史蒂文·斯皮尔伯格StevenSpielberg,辛德勒的名单, / Schindler's List,9.5,剧情历史战争
,美国 英国,2010,导演:克里斯托弗·诺兰ChristopherNolan,盗梦空间, / Inception,9.3,剧情科幻悬疑冒险
,美国 英国,2009,导演:莱塞·霍尔斯道姆LasseHallström,忠犬八公的故事, / Hachi: A Dog's Tale,9.4,剧情
,意大利,1998,导演:朱塞佩·托纳多雷GiuseppeTornatore,海上钢琴师, / La leggenda del pianista sull'oceano,9.3,剧情音乐
,美国 英国 加拿大 冰岛,2014,导演:克里斯托弗·诺兰ChristopherNolan,星际穿越, / Interstellar,9.3,剧情科幻冒险
,美国,1998,导演:彼得·威尔PeterWeir,楚门的世界, / The Truman Show,9.3,剧情科幻
,印度,2009,导演:拉库马·希拉尼RajkumarHirani,三傻大闹宝莱坞, / 3 Idiots,9.2,剧情喜剧爱情歌舞
,美国,2008,导演:安德鲁·斯坦顿AndrewStanton,机器人总动员, / WALL·E,9.3,科幻动画冒险
,法国 瑞士 德国,2004,导演:克里斯托夫·巴拉蒂ChristopheBarratier,放牛班的春天, / Les choristes,9.3,剧情音乐
,中国香港 中国大陆,1995,导演:刘镇伟JeffreyLau,大话西游之大圣娶亲, / 西遊記大結局之仙履奇緣,9.2,喜剧爱情奇幻古装
,韩国,2011,导演:黄东赫Dong-hyukHwang,熔炉, / 도가니,9.3,剧情
,美国,2016,导演:拜伦·霍华德ByronHoward/瑞奇·摩尔RichMoore,疯狂动物城, / Zootopia,9.2,喜剧动画冒险
,中国香港,2002,导演:刘伟强/麦兆辉,无间道, / 無間道,9.2,剧情犯罪悬疑
,美国,1972,导演:弗朗西斯·福特·科波拉FrancisFordCoppola,教父, / The Godfather,9.3,剧情犯罪
,日本,1988,导演:宫崎骏HayaoMiyazaki,龙猫, / となりのトトロ,9.2,动画奇幻冒险
,美国,2006,导演:加布里尔·穆奇诺GabrieleMuccino,当幸福来敲门, / The Pursuit of Happyness,9.1,剧情传记家庭
,美国,2010,导演:罗伯·莱纳RobReiner,怦然心动, / Flipped,9.1,剧情喜剧爱情
,法国,2011,导演:奥利维·那卡什OlivierNakache/艾力克·托兰达EricToledano,触不可及, / Intouchables,9.2,剧情喜剧
,美国,1957,导演:比利·怀尔德BillyWilder,控方证人, / Witness for the Prosecution,9.6,剧情犯罪悬疑
,美国 英国,2008,导演:克里斯托弗·诺兰ChristopherNolan,蝙蝠侠：黑暗骑士, / The Dark Knight,9.2,剧情动作科幻犯罪惊悚
,中国大陆 中国香港,1994,导演:张艺谋YimouZhang,活着, / 人生  /  Lifetimes,9.3,剧情历史家庭
,英国 意大利 中国大陆 法国,1987,导演:贝纳尔多·贝托鲁奇BernardoBertolucci,末代皇帝, / The Last Emperor,9.3,剧情传记历史
,美国,2017,导演:李·昂克里奇LeeUnkrich/阿德里安·莫利纳AdrianMolina,寻梦环游记, / Coco,9.1,喜剧动画奇幻音乐
,美国,1939,导演:维克多·弗莱明VictorFleming/乔治·库克GeorgeCukor,乱世佳人, / Gone with the Wind,9.3,剧情历史爱情战争
,黎巴嫩 法国 美国,2018,导演:娜丁·拉巴基NadineLabaki,何以为家, / كفرناحوم,9.1,剧情
,美国 新西兰,2003,导演:彼得·杰克逊PeterJackson,指环王3：王者无敌, / The Lord of the Rings: The Return of the King,9.2,剧情动作奇幻冒险
,印度,2016,导演:涅提·蒂瓦里NiteshTiwari,摔跤吧！爸爸, / Dangal,9.0,剧情传记运动家庭
,美国,2009,导演:彼特·道格特PeteDocter/鲍勃·彼德森BobPeterson,飞屋环游记, / Up,9.0,剧情喜剧动画冒险
,美国 中国台湾 英国 加拿大,2012,导演:李安AngLee,少年派的奇幻漂流, / Life of Pi,9.1,剧情奇幻冒险
,美国,1957,导演:SidneyLumet,十二怒汉, / 12 Angry Men,9.4,剧情
,美国 英国,2001,导演:ChrisColumbus,哈利·波特与魔法石, / Harry Potter and the Sorcerer's Stone,9.1,奇幻冒险
,韩国,2013,导演:李濬益Jun-ikLee,素媛, / 소원,9.3,剧情
,中国大陆,2000,导演:姜文WenJiang,鬼子来了, / Devils on the Doorstep,9.3,剧情喜剧
,日本,2004,导演:宫崎骏HayaoMiyazaki,哈尔的移动城堡, / ハウルの動く城,9.1,动画奇幻冒险
,日本,1986,导演:宫崎骏HayaoMiyazaki,天空之城, / 天空の城ラピュタ,9.1,动画奇幻冒险
,中国香港 中国大陆,1995,导演:刘镇伟JeffreyLau,大话西游之月光宝盒, / 西遊記第壹佰零壹回之月光寶盒,9.0,喜剧爱情奇幻古装
,中国大陆,2018,导演:文牧野MuyeWen,我不是药神, / 中国药神  /  印度药神,9.0,剧情喜剧
,美国,1953,导演:威廉·惠勒WilliamWyler,罗马假日, / Roman Holiday,9.0,喜剧剧情爱情
,美国,1992,导演:马丁·布莱斯MartinBrest,闻香识女人, / Scent of a Woman,9.1,剧情
,意大利 法国,1988,导演:朱塞佩·托纳多雷GiuseppeTornatore,天堂电影院, / Nuovo Cinema Paradiso,9.2,剧情爱情
,韩国,2013,导演:杨宇硕Woo-seokYang,辩护人, / 변호인,9.2,剧情
,美国 德国,1999,导演:大卫·芬奇DavidFincher,搏击俱乐部, / Fight Club,9.0,剧情动作悬疑惊悚
, 1964(中国大陆) ,1961(中国大陆),导演:万籁鸣LaimingWan/唐澄ChengTang,大闹天宫, / 大闹天宫 上下集  /  The Monkey King,9.3,1978(中国大陆)
,美国,1974,导演:弗朗西斯·福特·科波拉FrancisFordCoppola,教父2, / The Godfather: Part Ⅱ,9.2,剧情犯罪
,美国 加拿大,2002,导演:史蒂文·斯皮尔伯格StevenSpielberg,猫鼠游戏, / Catch Me If You Can,9.0,传记犯罪剧情
,美国,1994,导演:RogerAllers/罗伯·明可夫RobMinkoff,狮子王, / The Lion King,9.0,动画冒险歌舞
,美国,1989,导演:彼得·威尔PeterWeir,死亡诗社, / Dead Poets Society,9.1,剧情
,美国 新西兰,2002,导演:彼得·杰克逊PeterJackson,指环王2：双塔奇兵, / The Lord of the Rings: The Two Towers,9.1,剧情动作奇幻冒险
,法国 德国 英国 波兰,2002,导演:罗曼·波兰斯基RomanPolanski,钢琴家, / The Pianist,9.2,剧情传记历史战争音乐
,德国,2006,导演:弗洛里安·亨克尔·冯·多纳斯马尔克FlorianHenckelvonDonnersmarck,窃听风暴, / Das Leben der Anderen,9.1,剧情悬疑
,新西兰 美国,2001,导演:彼得·杰克逊PeterJackson,指环王1：魔戒再现, / The Lord of the Rings: The Fellowship of the Ring,9.0,剧情动作奇幻冒险
,美国 澳大利亚,1999,导演:安迪·沃卓斯基AndyWachowski/拉娜·沃卓斯基LanaWachowski,黑客帝国, / The Matrix,9.0,动作科幻
,中国台湾 美国,1994,导演:李安AngLee,饮食男女, / 飲食男女,9.1,剧情家庭
,美国,2001,导演:朗·霍华德RonHoward,美丽心灵, / A Beautiful Mind,9.0,传记剧情
,英国,1998,导演:GuyRitchie,两杆大烟枪," / Lock, Stock and Two Smoking Barrels",9.1,剧情喜剧犯罪
,中国大陆 中国香港,2010,导演:姜文WenJiang,让子弹飞, / 让子弹飞一会儿  /  火烧云,8.8,剧情喜剧动作西部
,美国,1975,导演:米洛斯·福尔曼MilošForman,飞越疯人院, / One Flew Over the Cuckoo's Nest,9.1,剧情
,美国,2008,导演:大卫·芬奇DavidFincher,本杰明·巴顿奇事, / The Curious Case of Benjamin Button,8.9,剧情爱情奇幻
,美国,2018,导演:彼得·法雷里PeterFarrelly,绿皮书, / Green Book,8.9,剧情喜剧传记
,西班牙,2016,导演:奥里奥尔·保罗OriolPaulo,看不见的客人, / Contratiempo,8.8,剧情犯罪悬疑惊悚
,德国 瑞士 南非,2015,导演:阿兰·葛斯彭纳AlainGsponer,海蒂和爷爷, / Heidi,9.2,剧情冒险家庭
,意大利 美国,2000,导演:朱塞佩·托纳多雷GiuseppeTornatore,西西里的美丽传说, / Malèna,8.9,剧情战争情色
,美国,1998,导演:史蒂文·斯皮尔伯格StevenSpielberg,拯救大兵瑞恩, / Saving Private Ryan,9.0,剧情历史战争
,伊朗,1997,导演:马基德·马基迪MajidMajidi,小鞋子, / بچههای آسمان,9.2,剧情儿童家庭
,英国 美国,2008,导演:马克·赫尔曼MarkHerman,穿条纹睡衣的男孩, / The Boy in the Striped Pajamas,9.1,剧情战争
,日本,1995,导演:岩井俊二ShunjiIwai,情书, / Love Letter,8.9,剧情爱情
,美国,1965,导演:罗伯特·怀斯RobertWise,音乐之声, / The Sound of Music,9.0,剧情传记爱情歌舞
,美国,2009,导演:路易·西霍尤斯LouiePsihoyos,海豚湾, / The Cove,9.3,纪录片
,美国 意大利,1984,导演:赛尔乔·莱翁内SergioLeone,美国往事, / Once Upon a Time in America,9.2,犯罪剧情
,英国 美国,2006,导演:克里斯托弗·诺兰ChristopherNolan,致命魔术, / The Prestige,8.9,剧情悬疑惊悚
,美国,1994,导演:昆汀·塔伦蒂诺QuentinTarantino,低俗小说, / Pulp Fiction,8.9,剧情喜剧犯罪
,美国,1991,导演:乔纳森·戴米JonathanDemme,沉默的羔羊, / The Silence of the Lambs,8.8,剧情犯罪惊悚
,美国,1995,导演:大卫·芬奇DavidFincher,七宗罪, / Se7en,8.8,剧情犯罪悬疑惊悚
,美国,2010,导演:MartinScorsese,禁闭岛, / Shutter Island,8.8,剧情悬疑惊悚
,美国 加拿大,2004,导演:埃里克·布雷斯EricBress/J·麦基·格鲁伯J.MackyeGruber,蝴蝶效应, / The Butterfly Effect,8.8,剧情悬疑科幻惊悚
,美国,1997,导演:格斯·范·桑特GusVanSant,心灵捕手, / Good Will Hunting,8.9,剧情
,美国 德国 英国,2014,导演:韦斯·安德森WesAnderson,布达佩斯大饭店, / The Grand Budapest Hotel,8.8,剧情喜剧冒险
,中国香港 日本 韩国,1997,导演:王家卫KarWaiWong,春光乍泄, / 春光乍洩,8.9,剧情爱情同性
,日本,2006,导演:中岛哲也TetsuyaNakashima,被嫌弃的松子的一生, / 嫌われ松子の一生,8.9,剧情歌舞
,美国,1936,导演:查理·卓别林CharlesChaplin,摩登时代, / Modern Times,9.3,剧情喜剧爱情
,美国 英国,2009,导演:詹姆斯·卡梅隆JamesCameron,阿凡达, / Avatar,8.7,动作科幻冒险
,美国 英国,2011,导演:大卫·叶茨DavidYates,哈利·波特与死亡圣器(下), / Harry Potter and the Deathly Hallows: Part 2,8.9,奇幻冒险
